id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
244,天社,Celestial Earth God's Temple,Tian She,天社,3,132.5943,-51.8415,20.4
245,天田(角宿),Celestial Farmland (In Horn Mansion),Tian Tian(Jiao Xiu),天田(角宿),3,-153.0277,2.6018,6.9
246,天田(牛宿),Celestial Farmland (In Ox Mansion),Tian Tian(Niu Xiu),天田(牛宿),3,-45.077,-26.3126,6.8
247,天相,Celestial Premier,Tian Xiang,天相,3,153.4695,-8.2385,1.9
248,天乙,Celestial Great One,Tian Yi,天乙,3,-152.1419,64.7233,0
249,天阴,Celestial Yin Force,Tian Yin,天阴,3,50.0091,21.2653,4.2
250,天庾,Ricks of Grain,Tian Yu,天庾,3,36.6976,-30.3191,11.1
251,天渊,Celestial Spring,Tian Yuan,天渊,3,-69.1844,-42.7078,4.2
252,天园,Celestial Orchard,Tian Yuan,天园,3,45.8503,-40.6877,46.1
253,天苑,Celestial Meadows,Tian Yuan,天苑,3,50.5059,-16.7159,19
254,天籥,Celestial Keyhole,Tian Yue,天籥,3,-94.2104,-24.757,6.1
255,天柱,Celestial Pillar,Tian Zhu,天柱,3,-66.8066,79.5063,46.4
256,天樽,Celestial Wine Cup,Tian Zun,天樽,3,108.2361,23.5164,5.3
257,屠肆,Butcher's Shops,Tu Si,屠肆,3,-86.2838,21.9944,4.4
258,土公,Official for Earthworks and Buildings,Tu Gong,土公,3,3.5242,8.0883,5.8
259,土公吏,Official for Materials Supply,Tu Gong Li,土公吏,3,-23.6686,10.6671,3.1
260,土司空,Master of Constructions,Tu Si Kong,土司空,3,10.8974,-17.9866,0
261,外厨,Outer Kitchen,Wai Chu,外厨,3,129.4769,-4.5653,5.7
262,外屏,Outer Fence,Wai Ping,外屏,3,21.3412,5.327,18.3
263,王良,Wang Liang,Wang Liang,王良,3,7.2854,58.7271,10
265,文昌,Administrative Center,Wen Chang,文昌,3,142.6221,55.3217,10.8
266,五车,Five Chariots,Wu Che,五车,3,82.0894,37.3028,17.4
267,五帝内座,Interior Seats of the Five Emperors,Wu Di Nei Zuo,五帝内座,3,46.8962,79.3649,31.2
268,五帝座,Seats of the Five Emperors,Wu Di Zuo,五帝座,3,177.6083,14.261,4
269,五诸侯(井宿),Five Feudal Kings,Wu Zhu Hou(JingXiu),五诸侯(井宿),3,110.7857,30.3636,15.2
270,五诸侯(太微垣),Five Lords,Wu Zhu Hou(Tai Wei Yuan),五诸侯(太微垣),3,-169.7053,18.0263,12.6
271,西咸,Western Door,Xi Xian,西咸,3,-121.44579999999999,-14.0514,5.4
272,奚仲,Xi Zhong,Xi Zhong,奚仲,3,-67.6352,51.7948,6.2
273,咸池,Pool of Harmony,Xian Chi,咸池,3,81.2366,40.8153,2.9
274,相,Prime Minister,Xiang,相,3,-173.9938,51.5623,0
275,小斗,Little Dipper,Xiao Dou,小斗,3,149.3022,-79.2129,70.6
276,幸臣,Officer of Honour,Xing Chen,幸臣,3,-179.9804,19.4194,0
277,虚梁,Temple,Xu Liang,虚梁,3,-20.7006,-4.8077,10
278,轩辕,Xuanyuan,Xuan Yuan,轩辕,3,146.6814,25.5448,32.5
279,玄戈,Sombre Lance,Xuan Ge,玄戈,3,-145.9041,46.0883,0
280,钺(附官),Battle Axe (Vassal of Well),Yue,钺(附官),3,93.7194,22.5068,0
281,阳门,Gate of Yang,Yang Men,阳门,3,-139.2978,-36.4836,2.6
282,野鸡,Wild Cockerel,Ye Ji,野鸡,3,99.171,-19.2559,0
283,谒者,Usher to the Court,Ye Zhe,谒者,3,-174.9126,3.3126,0
284,异雀,Exotic Bird,Yi Que,异雀,3,-122.4588,-75.7193,46
285,阴德,Hidden Virtue,Yin De,阴德,3,158.6644,74.7737,1.9
286,右更,Official in Charge of Pasturing,You Geng,右更,3,23.9561,14.165,10
287,右旗,Right Flag,You Qi,右旗,3,-65.0455,-0.5976,16
288,右摄提,Right Conductor,You She Ti,右摄提,3,-152.2566,17.0978,2.6
289,鱼,Fish,Yu,鱼,3,-91.5218,-34.7527,0
290,羽林军,Palace Guard,Yu Lin Jun,羽林军,3,-19.806999999999988,-18.615,21.8
291,玉井,Jade Well,Yu Jing,玉井,3,77.3807,-6.9202,4
292,御女,Maids-in-waiting,Yu Nü,御女,3,-83.9703,74.0834,25.7
293,月,Lunar Star,Yue,月,3,61.1738,22.0819,0
294,附耳(附官),Whisper (Vassal of Net),Fu Er,附耳(附官),3,69.8188,15.918,0
295,云雨,Cloud and Rain,Yun Yu,云雨,3,-5.4512,0.3721,5.6
296,造父,Zaofu,Zao Fu,造父,3,-28.4152,59.6611,11.4
297,长垣,Long Wall,Chang Yuan,长垣,3,160.1817,10.5742,7.2
298,丈人,Grandfather,Zhang Ren,丈人,3,83.8577,-34.7723,2.1
299,招摇,Twinkling Indicator,Zhao Yao,招摇,3,-141.9805,38.3083,0
300,辅(附官),Assistant (Vassal of Northern Dipper),Fu,辅(附官),3,-158.6936,54.988,0
301,折威,Executions,Zhe Wei,折威,3,-140.3953,-25.9517,12.8
302,阵车,Battle Chariots,Zhen Che,阵车,3,-133.9851,-29.0545,6.9
303,右辖(附官),Right linchpin (Vassal of Chariot),You Xia,右辖(附官),3,-177.8966,-24.7289,0
