id,name,desig,en,pinyin
62576,郎将增一,30 Com,Captain of the Bodyguards Added I,Lángjiàng zēng I
62757,东次相增一,37 Vir,The Second Eastern Premier Added I,Dōngcìxiàng zēng I
62763,郎将,31 Com,Captain of the Bodyguards,Lángjiàng
62857,郎将增二,HIP62857,Captain of the Bodyguards Added II,Lángjiàng zēng II
62875,进贤增一,38 Vir,Recommending Virtuous Men Added I,Jìnxián zēng I
62886,五诸侯增二[太微垣],35 Com,Five Lords Added II,Wǔzhūhóu zēng II
62933,东次将增一,41 Vir,The Second Eastern General Added I,Dōngcìjiàng zēng I
62956,玉衡,ε UMa,The Jade Sighting-Tube,Yùhéng
62985,进贤增五,ψ Vir,Recommending Virtuous Men Added V,Jìnxián zēng V
63076,内厨二,8 Dra,Inner Kitchen II,Nèichú II
63090,东次相,δ Vir,The Second Eastern Premier,Dōngcìxiàng
63125,常陈一,α2 CVn,Royal Guards I,Chángchén I
63355,五诸侯二[太微垣],36 Com,Five Lords II,Wǔzhūhóu II
63414,进贤增二,k Vir,Recommending Virtuous Men Added II,Jìnxián zēng II
63432,内厨增一,9 Dra,Inner Kitchen Added I,Nèichú zēng I
63462,周鼎二,37 Com,Tripod of the Zhou II,Zhōudǐng II
63494,进贤增三,46 Vir,Recommending Virtuous Men Added III,Jìnxián zēng III
63533,五诸侯增三[太微垣],38 Com,Five Lords Added III,Wǔzhūhóu zēng III
63608,东次将,ε Vir,The Second Eastern General,Dōngcìjiàng
63613,蜜蜂四*,δ Mus,Bee IV*,Mìfēng IV*
63750,进贤增四,48 Vir,Recommending Virtuous Men Added IV,Jìnxián zēng IV
63945,库楼六,f Cen,Arsenal VI,Kùlóu VI
63948,五诸侯一[太微垣],39 Com,Five Lords I,Wǔzhūhóu I
63950,五诸侯增一[太微垣],40 Com,Five Lords Added I,Wǔzhūhóu zēng I
64022,周鼎三,41 Com,Tripod of the Zhou III,Zhōudǐng III
64078,角宿增十五,49 Vir,Horn Added XV,Jiǎoxiù zēng XV
64166,平增一,ψ Hya,Judging Added I,Píng zēng I
64212,常陈增七,HD114357,Royal Guards Added VII,Chángchén zēng VII
64217,常陈增五,15 CVn,Royal Guards Added V,Chángchén zēng V
64224,角宿增十四,50 Vir,Horn Added XIV,Jiǎoxiù zēng XIV
64238,平道一,θ Vir,Flat Road I,Píngdào I
64241,东上将,α Com,The Great Eastern General,Dōngshàngjiàng
